Post Number,Likes
1,5950
2,2460
3,4299
4,3481
5,4490
6,2203
7,2791
8,4111
9,3496
10,2301
11,1845
12,1074
13,4192
14,1418
15,1749
16,3245
17,5528
18,2291
19,2132
20,1387
21,1456
22,3071
23,2040
24,3034
25,3220
26,3461
27,2212
28,1597
29,5783
30,2295
31,1929
32,13547
33,1966
34,1439
35,2414
36,698
37,1595
38,1709
39,1664
40,1207
41,1313
42,1570
43,1033
44,1643
45,1030
46,1789
47,1266
48,2414
49,1127
50,3268
51,994
52,1179
53,1133
54,1875
55,1476
56,1054
57,2568
58,1423
59,1876
60,1927
61,503
62,1140
63,2178
64,668
65,1001
66,3345
67,765
68,1340
69,3367
70,1467
71,1887
72,2009
73,1385
74,1718
75,1017
76,1027
77,3942
78,913
79,878
80,1723
81,1018
82,1493
83,3497
84,1406
85,1244
86,3219
87,1032
88,833
89,995
90,1391
91,1198
92,1905
93,1031
94,1214
95,646
96,2276
97,5917
98,1561
99,10447
100,1041
101,1035
102,1449
103,864
104,1031
105,2421
106,1283
107,1317
108,1205
109,1067
110,1707
111,1454
112,1476
113,1552
114,3590
115,1446
116,1184
117,898
118,499
119,639
120,1679
121,1812
122,2160
123,834
124,2302
125,1052
126,820
127,883
128,1037
129,784
130,1824
131,2028
132,3087
133,1443
134,3836
135,885
136,1089
137,1247
138,1905
139,2742
140,3171
141,1426
142,708
143,893
144,1157
145,2812
146,1129
147,980
148,1237
149,2576
150,1382
151,1392
152,804
153,913
154,903
155,861
156,893
157,1261
158,848
159,1913
160,1525
161,2103
162,3212
163,1333
164,1358
165,847
166,1695
167,856
168,1037
169,1936
170,1364
171,1537
172,1494
173,829
174,1278
175,1186
176,1416
177,1450
178,851
179,1090
180,1322
181,3078
182,1423
183,779
184,1375
185,1435
186,1648
187,3659
188,3605
189,1159
190,1282
191,1960
192,1624
193,4102
194,1233
195,3037
196,1076
197,1889
198,1048
199,1215
200,1456
201,1426
202,618
203,855
204,1225
205,911
206,675
207,1913
208,1662
209,867
210,1386
211,1604
212,531
213,576
214,950
215,1386
216,495
217,820
218,1404
219,645
220,636
221,2457
222,719
223,730
224,546
225,1266
226,1269
227,2966
228,1655
229,2297
230,1964
231,1193
232,905
233,4765
234,2085
235,2672
236,861
237,2087
238,1626
239,2937
240,745
241,958
242,703
243,200
244,890
245,898
246,1283
247,1868
248,1076
249,1345
250,2552
251,1228
252,743
253,580
254,406
255,1693
256,672
257,2387
258,555
259,741
260,594
261,4273
262,4080
263,2983
264,886
265,765
266,766
267,1133
268,520
269,670
