Post Number,Likes
1,23702
2,7762
3,26534
4,8709
5,14309
6,14032
7,13485
8,7843
9,13203
10,6069
11,12068
12,12260
13,20944
14,15483
15,7200
16,12413
17,11291
18,9839
19,7086
20,6930
21,6038
22,7106
23,2491
24,10315
25,7461
26,6380
27,5916
28,9697
29,10839
30,8873
31,7765
32,10896
33,5058
34,2505
35,2235
36,9752
37,7088
38,8152
39,16151
40,8778
41,11970
42,8393
43,5684
44,7432
45,11000
46,3578
47,6181
48,2735
49,8863
50,7857
51,6070
52,7564
53,9217
54,6668
55,11156
56,4185
57,3116
58,17969
59,7112
60,16232
61,13822
62,2924
63,8476
64,3540
65,8763
66,7399
67,15958
68,14305
69,10719
70,6588
71,13825
72,4180
73,3816
74,17282
75,6923
76,15510
77,10354
78,17944
79,4052
80,9008
81,15474
82,13832
83,6959
84,4723
85,6052
86,2655
87,4868
88,10479
89,9181
90,22005
91,4984
92,3362
93,3450
94,3035
95,3623
96,6437
97,15324
98,4220
99,15203
100,2700
101,4657
102,12609
103,5958
104,15474
105,4087
106,8982
107,1645
108,9436
109,6485
110,1725
111,7453
112,4225
113,10963
114,5322
115,6548
116,12849
117,2105
118,7497
119,14535
120,2016
121,4233
122,16080
123,13994
124,5517
125,8988
126,5911
127,11830
128,12506
129,6979
130,9817
131,2065
132,3043
133,9513
134,2957
135,10298
136,1832
137,4786
138,2602
139,2775
140,4568
141,13196
142,14476
143,9556
144,30272
145,9199
146,5475
147,2834
148,1952
149,11968
150,1860
151,13721
152,4390
153,3659
154,5843
155,2713
156,10853
157,1557
158,6677
159,15734
160,13004
161,5249
162,2086
163,3345
164,6117
165,6637
166,14955
167,4002
168,10937
169,5904
170,4425
171,3799
172,6836
173,2528
174,4943
175,9137
176,11023
177,4547
178,1624
179,8123
180,22850
181,4992
182,7313
183,4177
184,10869
185,5200
186,2723
187,2568
188,9557
189,3149
190,8847
191,6770
192,6193
193,16453
194,8188
195,11101
196,7378
197,11390
198,12327
199,5874
200,10202
201,4543
202,3935
203,6830
204,5735
205,3134
206,8596
207,8504
208,5630
209,17874
210,4393
211,7284
212,6396
213,13486
214,3578
215,2992
216,12599
217,9209
218,3505
219,6258
220,1898
221,6429
222,5483
223,4287
224,5568
225,3466
226,18625
227,4731
228,10603
229,5725
230,2894
231,16820
232,6136
233,4342
234,7323
235,32478
236,5096
237,6990
238,3101
239,4655
240,7134
241,3779
242,2171
243,3076
244,6554
245,5835
246,2743
247,29044
248,5281
249,5324
250,5368
251,56466
252,7553
253,2775
254,9847
255,5215
256,3479
257,4430
258,2813
259,15505
260,11095
261,1076
262,2507
263,7328
264,1782
265,2513
266,2094
267,12419
268,4209
269,8132
270,1080
271,10468
272,3277
273,8458
274,3621
275,1279
276,1134
277,6388
278,9729
279,2115
280,4825
281,6546
282,2212
283,6134
284,4351
285,3565
286,8200
287,13093
288,4028
289,7448
290,8224
291,3998
292,1881
293,2563
294,14159
295,4429
296,13314
297,6710
298,6575
299,6032
300,7962
301,11013
302,7658
303,1973
304,1196
305,3375
306,3966
307,5170
308,5229
309,3807
310,16437
311,3562
312,3535
313,10117
314,5327
315,4914
316,4328
317,2983
318,11369
319,2946
320,5523
321,3696
322,4864
323,4576
