Post Number,Likes
1,11007
2,2742
3,1882
4,1149
5,2725
6,1510
7,2854
8,6303
9,1552
10,4541
11,1703
12,2330
13,1951
14,4808
15,1523
16,959
17,7613
18,7777
19,1786
20,6120
21,5234
22,1928
23,5973
24,5246
25,4047
26,1788
27,2691
28,568
29,2709
30,4384
31,1591
32,2327
33,1253
34,584
35,8216
36,1492
37,1551
38,1552
39,978
40,3114
41,805
42,8451
43,1626
44,3484
45,4903
46,5355
47,1563
48,3882
49,508
50,7163
51,4994
52,1014
53,14371
54,4910
55,1446
56,1299
57,1092
58,750
59,1959
60,12612
61,739
62,5163
63,2071
64,2131
65,2247
66,946
67,6878
68,1441
69,743
70,9122
71,2993
72,1590
73,1469
74,3603
75,3528
76,4980
77,2383
78,5759
79,2550
80,6987
81,2386
82,2636
83,3655
84,2169
85,4803
86,6704
87,5151
88,1095
89,4930
90,8610
91,2468
92,5290
93,3621
94,3630
95,1536
96,2967
97,2295
98,1045
99,1712
100,816
101,2266
102,1563
103,3187
104,1843
105,4990
106,1529
107,1526
108,2463
109,8234
110,594
111,2419
112,2125
113,2296
114,9205
115,2235
116,1089
117,5614
118,10469
119,5652
120,4988
121,3327
122,2766
123,2405
124,3095
125,1192
126,4906
127,3369
128,8362
129,4942
130,5908
131,6969
132,6276
133,3094
134,9652
135,1546
136,2712
137,9249
138,4040
139,2458
140,1547
141,1699
142,815
143,5317
144,1366
145,1775
146,3835
147,2492
148,5895
149,1215
150,1011
151,628
152,2042
153,3147
154,1663
155,1094
156,574
157,1527
158,1824
159,741
160,3521
161,5632
162,924
163,5652
164,2967
165,1492
166,4347
167,2530
168,1199
169,799
170,1003
171,3868
172,1378
173,2583
174,1691
175,1109
176,2900
177,1088
178,3590
179,1317
