Post Number,Likes
1,1243
2,477
3,1268
4,3294
5,591
6,184
7,227
8,422
9,715
10,281
11,200
12,269
13,591
14,2079
15,289
16,817
17,1484
18,105
19,-1
20,1158
21,718
22,1278
23,341
24,311
25,256
26,1325
27,616
28,70
29,1594
30,41
31,331
32,512
33,98
34,957
35,393
36,74
37,182
38,340
39,1036
40,95
41,3349
42,703
43,176
44,1899
45,118
46,230
47,72
48,341
49,322
50,154
51,123
52,634
53,92
54,154
55,442
56,149
57,130
58,1191
59,126
60,192
61,1070
62,1932
63,451
64,73
65,127
66,824
67,1073
68,1418
69,68
70,3096
71,127
72,115
73,388
74,171
75,123
76,215
77,675
78,89
79,1664
80,127
81,123
82,325
83,77
84,84
85,423
86,244
87,3702
88,151
89,281
90,3835
91,259
92,442
93,821
94,170
95,228
96,64
97,189
98,93
99,61
100,59
101,269
102,458
103,194
104,120
105,69
106,492
107,279
108,360
109,181
110,597
111,620
112,76
113,196
114,84
115,170
116,606
117,175
118,270
119,120
120,1887
121,190
122,137
123,128
124,163
125,744
126,145
127,79
128,261
129,126
130,300
131,305
132,94
133,111
134,64
135,127
136,170
137,123
138,269
139,3316
140,481
141,131
142,154
143,123
144,184
145,401
146,511
147,254
148,102
149,135
150,211
151,119
152,133
153,2744
154,310
155,442
156,622
157,113
158,980
159,84
160,77
161,717
162,183
163,957
164,343
165,221
166,762
167,126
168,2870
169,176
170,249
171,71
172,276
173,64
174,100
175,219
176,118
177,418
178,96
179,760
180,141
181,95
182,228
183,151
184,135
185,70
186,152
187,2778
188,237
189,175
190,3902
191,282
192,1211
193,230
194,452
195,218
196,193
197,2723
198,267
199,144
200,635
201,171
202,307
203,342
204,259
205,580
206,79
207,505
208,69
209,104
210,524
211,79
212,149
213,248
214,408
215,156
216,124
217,143
218,29
219,220
220,149
221,300
222,369
223,214
224,209
225,141
226,139
227,848
228,140
229,1256
230,1868
231,4376
232,3991
233,153
234,364
235,282
236,148
237,196
238,309
239,311
240,155
241,1870
242,82
243,914
244,177
245,1127
246,2188
247,360
248,157
249,145
250,378
251,136
252,1773
253,357
254,366
255,1488
256,638
257,707
258,1172
259,188
260,1793
261,1031
262,327
263,4546
264,771
265,855
266,142
267,180
268,373
269,4882
270,1541
271,255
272,443
273,1643
274,1184
275,623
276,1113
277,264
278,213
279,2273
280,167
281,223
282,525
283,151
284,78
285,135
286,380
287,212
288,212
289,922
290,367
291,768
292,1083
293,521
294,433
295,1651
296,581
297,339
298,1978
299,3369
300,394
301,825
302,169
303,364
304,2112
305,301
306,375
307,1164
308,128
309,233
310,1602
311,582
312,380
313,1146
314,528
315,622
316,1145
317,768
318,1642
319,701
320,527
321,559
322,224
323,346
324,939
325,2141
