Post Number,Likes
1,1161
2,330
3,500
4,1849
5,710
6,308
7,737
8,848
9,2584
10,600
11,613
12,436
13,340
14,158
15,158
16,980
17,510
18,238
19,376
20,371
21,672
22,552
23,180
24,326
25,152
26,301
27,557
28,367
29,650
30,232
31,203
32,1655
33,2027
34,496
35,1368
36,322
37,129
38,1226
39,229
40,171
41,284
42,2925
43,292
44,249
45,261
46,291
47,298
48,328
49,235
50,8239
51,155
52,133
53,272
54,174
55,217
56,258
57,329
58,152
59,218
60,216
61,219
62,318
63,151
64,409
65,1330
66,279
67,308
68,448
69,323
70,259
71,1873
72,439
73,-1
74,1582
75,305
76,530
77,295
78,1261
79,1410
80,1422
81,291
82,350
83,1012
84,541
85,2853
86,1252
87,607
88,299
89,2461
90,210
91,2679
92,240
93,415
94,529
95,980
96,500
97,2451
98,2370
99,278
100,286
101,644
102,190
103,152
104,575
105,269
106,407
107,581
108,1458
109,119
110,240
