Post Number,Likes
1,810
2,522
3,1023
4,794
5,1750
6,492
7,972
8,1170
9,295
10,727
11,531
12,1139
13,333
14,441
15,568
16,1576
17,2460
18,437
19,1357
20,1159
21,1248
22,2442
23,806
24,545
25,254
26,1426
27,726
28,1295
29,149
30,191
31,853
32,189
33,509
34,860
35,771
36,151
37,1760
38,459
39,1659
40,376
41,1031
42,162
43,529
44,659
45,120
46,357
47,2175
48,1117
49,204
50,1358
51,728
52,209
53,341
54,744
55,181
56,1270
57,259
58,619
59,150
60,152
61,661
62,341
63,205
64,1298
65,159
66,434
67,774
68,305
69,370
70,373
71,1644
72,1130
73,819
74,251
75,337
76,1129
77,1060
78,1183
79,597
80,1165
81,501
82,420
83,1179
84,466
85,289
86,849
87,345
88,246
89,511
90,280
91,862
92,275
93,238
94,1322
95,618
96,223
97,793
98,728
99,1082
100,198
101,610
102,1545
103,641
104,882
105,445
106,606
107,249
108,163
109,984
110,253
111,246
112,380
113,1097
114,1272
115,1273
116,268
117,234
118,927
119,365
120,118
121,596
122,267
123,582
124,475
125,238
126,635
127,204
128,468
129,631
130,365
131,1160
132,616
133,220
134,803
135,368
136,350
137,697
138,507
139,843
140,798
141,1911
142,934
143,1035
144,756
145,752
146,308
147,1176
148,412
149,751
150,875
151,458
152,1255
153,275
154,1663
155,529
156,229
157,198
158,447
159,850
160,359
161,187
162,632
163,511
164,267
165,527
166,308
167,381
168,600
169,319
170,383
171,43
172,423
173,597
174,836
175,350
176,422
177,589
178,1075
179,454
180,157
181,275
182,306
183,1458
184,684
185,604
186,1637
187,1057
188,997
189,199
190,247
191,1557
192,808
193,347
194,550
195,378
196,284
197,465
198,197
199,405
200,862
201,508
202,726
203,1001
204,2447
205,632
206,865
207,568
208,1413
209,302
210,449
211,431
212,808
213,1004
214,257
215,1043
216,545
217,320
218,1169
219,271
220,329
221,1183
222,2515
223,594
224,267
225,918
226,396
227,980
228,446
229,396
230,458
231,292
232,1264
233,2576
234,322
235,552
236,603
237,471
238,370
239,877
240,564
241,732
242,1470
243,726
244,380
245,1809
246,438
247,209
248,602
249,1068
250,715
251,349
252,2989
253,1154
254,1519
255,733
256,302
257,665
258,307
259,1114
260,760
261,689
262,493
263,743
264,388
265,400
266,625
267,389
268,348
269,613
270,645
271,916
272,495
273,376
274,278
275,415
276,637
277,492
278,221
279,161
280,707
281,305
282,338
283,496
284,1738
285,217
286,970
287,221
288,260
289,339
290,653
291,639
292,555
293,242
294,543
295,960
296,600
297,593
298,477
299,760
300,1328
301,748
302,490
303,2550
304,394
305,293
306,481
307,392
308,467
309,1038
310,930
311,1408
312,107
313,586
314,603
315,359
316,598
317,473
318,1052
319,395
320,327
321,316
322,304
323,272
324,793
325,241
326,256
327,1183
328,418
329,712
330,390
331,157
332,514
333,429
334,533
335,1938
336,211
337,571
338,116
339,403
340,724
341,210
342,208
343,410
344,412
345,334
346,915
347,255
348,662
349,408
350,2246
351,217
352,469
353,218
354,345
355,881
356,802
357,196
358,473
359,263
360,967
361,1074
362,789
363,419
364,703
365,708
366,244
367,374
368,715
369,775
370,405
371,1187
372,390
373,1995
374,136
375,303
376,228
377,517
378,263
379,523
380,317
381,2263
382,283
383,258
384,1387
385,411
386,126
387,475
388,925
389,357
390,526
391,546
392,943
393,1198
394,398
395,665
396,259
397,346
398,650
399,493
400,293
401,667
402,410
403,394
404,470
405,248
406,857
407,1386
408,606
409,590
410,391
411,556
412,698
413,759
414,604
415,470
416,530
417,318
418,407
419,1168
420,554
421,394
