Post Number,Likes
1,2438
2,1663
3,1339
4,1673
5,1167
6,2308
7,1682
8,5288
9,2353
10,1519
11,848
12,1378
13,1632
14,1825
15,1054
16,1716
17,1949
18,1617
19,1943
20,1215
21,1380
22,987
23,709
24,780
25,1304
26,1515
27,681
28,942
29,2189
30,1153
31,1180
32,1174
33,671
34,1297
35,1359
36,1020
37,901
38,864
39,1128
40,1490
41,676
42,633
43,1111
44,787
45,808
46,1103
47,898
48,1945
49,2018
50,1385
51,1310
52,887
53,611
54,1094
55,1793
56,1940
57,2057
58,1090
59,986
60,808
61,1669
62,1143
63,2220
64,865
65,1249
66,1310
67,891
68,849
69,1748
70,878
71,635
72,1278
73,1090
74,1538
75,2778
76,918
77,2124
78,609
79,713
80,2710
81,2456
82,981
83,1122
84,686
85,840
86,642
87,867
88,1340
89,2129
90,775
91,1455
92,1382
93,914
94,1739
95,448
96,1234
97,1161
98,860
99,984
100,1462
101,936
102,945
103,1755
104,892
105,2219
106,1508
107,1233
108,887
109,1006
110,962
111,646
112,1085
113,1358
114,820
115,1461
116,1182
117,1724
118,1763
119,1902
120,1148
121,1276
122,1320
123,707
124,886
125,1356
126,1290
127,1146
128,507
129,1700
130,1284
131,779
132,749
133,1386
134,532
135,611
136,751
137,544
138,1181
139,741
140,651
141,1326
142,1628
143,1845
144,613
145,838
146,3373
147,810
148,782
149,539
150,1060
151,642
152,767
153,849
154,1139
155,1110
156,2903
157,568
158,1145
159,897
160,868
161,421
162,691
163,1056
164,1190
165,319
166,746
167,1418
168,744
169,1025
170,1570
171,848
172,904
173,1620
174,958
175,907
176,1130
177,380
178,1293
179,1166
180,1852
181,2300
182,559
183,1022
184,583
185,308
186,1275
187,1064
188,839
189,510
190,575
191,745
192,1185
193,717
194,299
195,703
196,880
197,732
198,1598
199,1314
200,524
201,1119
202,611
203,1529
204,586
205,1031
206,944
207,597
208,816
209,481
210,706
211,780
212,722
213,1416
214,682
215,541
216,448
217,659
218,606
219,848
220,330
221,713
222,917
223,433
224,778
225,662
226,377
227,622
228,839
229,787
230,355
231,757
232,1634
233,569
234,466
235,471
236,1024
237,651
238,674
239,901
240,1064
241,778
242,1002
243,724
244,855
245,837
246,883
247,675
248,426
249,776
250,980
251,946
252,1756
253,1266
254,1646
255,1136
256,1322
257,2734
258,543
259,669
260,1372
