Media Type,Post Date,Political Party
GraphImage,2024-03-08 23:30:46,PPD/PSD-CDS-PP-PPM
GraphVideo,2024-03-08 23:29:13,PPD/PSD-CDS-PP-PPM
GraphVideo,2024-03-08 23:17:56,PPD/PSD-CDS-PP-PPM
GraphSidecar,2024-03-08 22:19:55,PPD/PSD-CDS-PP-PPM
GraphSidecar,2024-03-08 21:42:43,PPD/PSD-CDS-PP-PPM
GraphVideo,2024-03-08 18:07:56,PPD/PSD-CDS-PP-PPM
GraphSidecar,2024-03-08 17:48:17,PPD/PSD-CDS-PP-PPM
GraphVideo,2024-03-08 16:13:22,PPD/PSD-CDS-PP-PPM
GraphSidecar,2024-03-08 14:41:24,PPD/PSD-CDS-PP-PPM
GraphVideo,2024-03-08 12:11:59,PPD/PSD-CDS-PP-PPM
GraphVideo,2024-03-08 11:31:14,PPD/PSD-CDS-PP-PPM
GraphVideo,2024-03-08 10:01:53,PPD/PSD-CDS-PP-PPM
GraphVideo,2024-03-08 09:29:29,PPD/PSD-CDS-PP-PPM
GraphVideo,2024-03-08 07:59:08,PPD/PSD-CDS-PP-PPM
GraphSidecar,2024-03-07 22:55:07,PPD/PSD-CDS-PP-PPM
GraphVideo,2024-03-07 22:28:29,PPD/PSD-CDS-PP-PPM
GraphSidecar,2024-03-07 21:51:15,PPD/PSD-CDS-PP-PPM
GraphImage,2024-03-07 15:29:21,PPD/PSD-CDS-PP-PPM
GraphSidecar,2024-03-07 14:09:39,PPD/PSD-CDS-PP-PPM
GraphSidecar,2024-03-07 10:50:48,PPD/PSD-CDS-PP-PPM
GraphVideo,2024-03-07 10:11:27,PPD/PSD-CDS-PP-PPM
GraphVideo,2024-03-06 23:16:16,PPD/PSD-CDS-PP-PPM
GraphSidecar,2024-03-06 23:12:47,PPD/PSD-CDS-PP-PPM
GraphVideo,2024-03-06 21:48:53,PPD/PSD-CDS-PP-PPM
GraphSidecar,2024-03-06 18:41:13,PPD/PSD-CDS-PP-PPM
