Media Type,Post Date,Political Party
GraphImage,2024-03-08 23:56:01,CH
GraphVideo,2024-03-08 23:35:16,CH
GraphVideo,2024-03-08 22:55:37,CH
GraphImage,2024-03-08 21:08:51,CH
GraphVideo,2024-03-08 16:37:35,CH
GraphVideo,2024-03-08 15:00:31,CH
GraphSidecar,2024-03-08 12:28:14,CH
GraphImage,2024-03-08 11:58:43,CH
GraphVideo,2024-03-08 10:37:42,CH
GraphImage,2024-03-08 09:09:39,CH
GraphImage,2024-03-07 21:34:47,CH
GraphVideo,2024-03-07 20:28:16,CH
GraphVideo,2024-03-07 17:43:44,CH
GraphVideo,2024-03-07 12:56:14,CH
GraphImage,2024-03-07 11:14:55,CH
GraphImage,2024-03-07 10:38:23,CH
GraphVideo,2024-03-07 09:44:01,CH
GraphImage,2024-03-06 22:35:52,CH
GraphImage,2024-03-06 21:07:33,CH
GraphVideo,2024-03-06 17:31:14,CH
GraphImage,2024-03-06 15:29:28,CH
GraphVideo,2024-03-06 13:09:09,CH
GraphImage,2024-03-06 12:00:52,CH
GraphVideo,2024-03-06 10:00:19,CH
GraphImage,2024-03-06 01:43:09,CH
GraphVideo,2024-03-05 22:33:19,CH
GraphImage,2024-03-05 21:28:56,CH
GraphVideo,2024-03-05 18:37:36,CH
GraphVideo,2024-03-05 18:02:34,CH
GraphImage,2024-03-05 14:38:14,CH
GraphVideo,2024-03-05 13:34:30,CH
GraphVideo,2024-03-05 10:55:56,CH
GraphVideo,2024-03-05 00:07:55,CH
GraphImage,2024-03-04 22:10:14,CH
GraphImage,2024-03-04 18:43:04,CH
GraphVideo,2024-03-04 16:47:55,CH
GraphImage,2024-03-04 14:03:16,CH
GraphImage,2024-03-04 12:33:19,CH
GraphVideo,2024-03-04 10:30:16,CH
GraphVideo,2024-03-03 22:58:47,CH
GraphImage,2024-03-03 21:57:31,CH
GraphImage,2024-03-03 21:07:49,CH
GraphVideo,2024-03-03 19:35:46,CH
GraphVideo,2024-03-03 16:35:23,CH
GraphImage,2024-03-03 12:41:43,CH
GraphVideo,2024-03-03 10:31:27,CH
GraphImage,2024-03-02 21:47:11,CH
GraphVideo,2024-03-02 19:48:31,CH
GraphVideo,2024-03-02 15:46:48,CH
GraphImage,2024-03-02 13:12:11,CH
GraphVideo,2024-03-02 12:05:19,CH
GraphVideo,2024-03-02 10:33:31,CH
GraphImage,2024-03-02 00:08:57,CH
GraphVideo,2024-03-01 19:54:32,CH
GraphImage,2024-03-01 18:09:28,CH
GraphVideo,2024-03-01 15:52:08,CH
GraphVideo,2024-03-01 14:35:06,CH
