Media Type,Post Date,Political Party
GraphVideo,2024-03-08 23:25:42,IL
GraphImage,2024-03-08 20:15:46,IL
GraphImage,2024-03-08 19:17:23,IL
GraphImage,2024-03-08 18:38:18,IL
GraphVideo,2024-03-08 17:21:47,IL
GraphSidecar,2024-03-08 16:05:18,IL
GraphImage,2024-03-08 14:37:26,IL
GraphVideo,2024-03-08 12:38:31,IL
GraphImage,2024-03-08 11:52:09,IL
GraphVideo,2024-03-08 11:02:12,IL
GraphImage,2024-03-08 10:46:14,IL
GraphImage,2024-03-08 09:18:29,IL
GraphImage,2024-03-07 21:56:08,IL
GraphImage,2024-03-07 19:27:16,IL
GraphImage,2024-03-07 17:20:39,IL
GraphImage,2024-03-07 16:18:57,IL
GraphImage,2024-03-07 15:17:48,IL
GraphVideo,2024-03-07 13:01:16,IL
GraphImage,2024-03-06 22:22:57,IL
GraphVideo,2024-03-06 21:07:41,IL
GraphVideo,2024-03-06 19:55:11,IL
GraphImage,2024-03-06 16:34:50,IL
GraphVideo,2024-03-06 14:00:08,IL
GraphVideo,2024-03-05 19:19:24,IL
GraphImage,2024-03-05 17:35:10,IL
GraphImage,2024-03-05 11:06:22,IL
GraphImage,2024-03-04 16:24:09,IL
GraphImage,2024-03-04 15:43:27,IL
GraphVideo,2024-03-04 12:36:41,IL
GraphVideo,2024-03-03 17:23:15,IL
GraphVideo,2024-03-03 15:18:19,IL
GraphSidecar,2024-03-03 10:23:50,IL
GraphVideo,2024-03-02 18:22:53,IL
GraphImage,2024-03-02 16:05:16,IL
GraphImage,2024-03-01 23:04:09,IL
GraphSidecar,2024-03-01 21:51:46,IL
GraphImage,2024-03-01 20:15:19,IL
GraphImage,2024-03-01 12:46:22,IL
GraphImage,2024-02-29 18:16:57,IL
GraphSidecar,2024-02-28 22:28:01,IL
GraphImage,2024-02-28 22:00:37,IL
GraphSidecar,2024-02-28 17:34:02,IL
GraphVideo,2024-02-28 17:08:53,IL
GraphSidecar,2024-02-28 14:36:35,IL
GraphVideo,2024-02-28 01:18:41,IL
GraphVideo,2024-02-27 23:47:49,IL
GraphSidecar,2024-02-27 22:13:11,IL
GraphImage,2024-02-27 21:25:36,IL
GraphImage,2024-02-27 17:22:38,IL
GraphVideo,2024-02-27 10:51:30,IL
GraphImage,2024-02-26 23:06:56,IL
