Media Type,Post Date,Political Party
GraphVideo,2024-03-08 23:55:35,L
GraphImage,2024-03-08 23:53:58,L
GraphSidecar,2024-03-08 23:45:30,L
GraphVideo,2024-03-08 23:36:41,L
GraphSidecar,2024-03-08 23:23:37,L
GraphVideo,2024-03-08 22:54:27,L
GraphVideo,2024-03-08 22:32:42,L
GraphVideo,2024-03-08 22:23:33,L
GraphVideo,2024-03-08 22:22:04,L
GraphImage,2024-03-08 22:12:49,L
GraphVideo,2024-03-08 21:54:04,L
GraphVideo,2024-03-08 21:46:40,L
GraphSidecar,2024-03-08 21:44:29,L
GraphVideo,2024-03-08 21:25:21,L
GraphVideo,2024-03-08 21:22:40,L
GraphSidecar,2024-03-08 20:33:13,L
GraphSidecar,2024-03-08 20:23:47,L
GraphVideo,2024-03-08 19:56:00,L
GraphVideo,2024-03-08 19:51:30,L
GraphSidecar,2024-03-08 19:44:10,L
GraphSidecar,2024-03-08 19:17:24,L
GraphSidecar,2024-03-08 19:07:50,L
GraphVideo,2024-03-08 19:02:26,L
GraphVideo,2024-03-08 18:43:35,L
GraphVideo,2024-03-08 18:08:49,L
GraphSidecar,2024-03-08 17:55:28,L
GraphSidecar,2024-03-08 17:48:14,L
GraphVideo,2024-03-08 16:59:59,L
GraphSidecar,2024-03-08 16:58:28,L
GraphVideo,2024-03-08 16:55:08,L
GraphSidecar,2024-03-08 16:45:28,L
GraphVideo,2024-03-08 15:50:20,L
GraphImage,2024-03-08 15:17:36,L
GraphVideo,2024-03-08 14:23:42,L
GraphSidecar,2024-03-08 13:57:47,L
GraphImage,2024-03-08 13:44:53,L
GraphSidecar,2024-03-08 13:26:02,L
GraphVideo,2024-03-08 13:25:06,L
GraphVideo,2024-03-08 13:07:44,L
GraphImage,2024-03-08 13:01:22,L
GraphVideo,2024-03-08 12:33:03,L
GraphSidecar,2024-03-08 12:30:40,L
GraphVideo,2024-03-08 11:39:40,L
GraphSidecar,2024-03-08 11:37:12,L
GraphSidecar,2024-03-08 11:26:56,L
GraphImage,2024-03-08 00:00:31,L
GraphImage,2024-03-07 23:47:14,L
GraphVideo,2024-03-07 23:18:05,L
GraphImage,2024-03-07 22:30:12,L
GraphImage,2024-03-07 21:43:49,L
GraphSidecar,2024-03-07 20:19:24,L
GraphSidecar,2024-03-07 19:32:03,L
GraphImage,2024-03-07 19:13:15,L
GraphSidecar,2024-03-07 17:22:00,L
GraphSidecar,2024-03-07 15:46:49,L
GraphSidecar,2024-03-07 15:19:40,L
GraphImage,2024-03-07 15:14:45,L
GraphSidecar,2024-03-07 12:22:06,L
GraphImage,2024-03-07 11:22:50,L
GraphImage,2024-03-07 11:05:23,L
GraphSidecar,2024-03-07 08:30:14,L
GraphSidecar,2024-03-07 08:25:22,L
GraphSidecar,2024-03-07 07:00:34,L
GraphVideo,2024-03-07 00:58:32,L
GraphImage,2024-03-07 00:26:26,L
GraphSidecar,2024-03-06 22:28:55,L
GraphVideo,2024-03-06 22:12:39,L
GraphSidecar,2024-03-06 21:49:38,L
GraphImage,2024-03-06 21:43:58,L
GraphSidecar,2024-03-06 21:18:31,L
GraphVideo,2024-03-06 20:53:37,L
GraphVideo,2024-03-06 20:30:04,L
GraphSidecar,2024-03-06 20:18:30,L
GraphImage,2024-03-06 19:58:22,L
GraphSidecar,2024-03-06 19:03:03,L
GraphVideo,2024-03-06 18:30:48,L
GraphSidecar,2024-03-06 17:25:13,L
GraphSidecar,2024-03-06 17:02:48,L
GraphVideo,2024-03-06 16:55:19,L
GraphImage,2024-03-06 15:36:13,L
GraphSidecar,2024-03-06 14:57:56,L
GraphImage,2024-03-06 14:51:32,L
GraphImage,2024-03-06 14:04:01,L
GraphImage,2024-03-06 13:17:04,L
GraphVideo,2024-03-06 12:58:13,L
GraphSidecar,2024-03-05 23:21:38,L
GraphSidecar,2024-03-05 21:00:57,L
GraphVideo,2024-03-05 20:38:33,L
GraphSidecar,2024-03-05 20:37:46,L
GraphVideo,2024-03-05 20:12:23,L
GraphVideo,2024-03-05 19:04:00,L
GraphSidecar,2024-03-05 18:28:00,L
GraphSidecar,2024-03-05 17:39:22,L
GraphSidecar,2024-03-05 13:38:49,L
GraphImage,2024-03-05 11:22:23,L
GraphImage,2024-03-05 08:25:13,L
GraphVideo,2024-03-05 08:17:05,L
GraphVideo,2024-03-04 22:33:09,L
GraphImage,2024-03-04 21:55:21,L
GraphImage,2024-03-04 21:42:32,L
GraphImage,2024-03-04 21:32:26,L
GraphImage,2024-03-04 20:43:10,L
GraphSidecar,2024-03-04 19:44:01,L
GraphImage,2024-03-04 19:16:04,L
GraphImage,2024-03-04 18:56:24,L
GraphImage,2024-03-04 18:45:13,L
GraphImage,2024-03-04 18:39:15,L
GraphSidecar,2024-03-04 17:25:03,L
GraphSidecar,2024-03-04 16:47:32,L
GraphVideo,2024-03-04 12:45:06,L
GraphVideo,2024-03-04 11:49:06,L
GraphImage,2024-03-03 22:45:53,L
GraphSidecar,2024-03-03 20:20:08,L
GraphImage,2024-03-03 20:09:06,L
GraphSidecar,2024-03-03 20:01:11,L
GraphVideo,2024-03-03 19:55:20,L
GraphSidecar,2024-03-03 19:41:30,L
GraphSidecar,2024-03-03 13:48:10,L
GraphSidecar,2024-03-03 09:48:39,L
GraphVideo,2024-03-03 09:30:41,L
GraphImage,2024-03-02 21:44:04,L
GraphVideo,2024-03-02 21:05:08,L
GraphVideo,2024-03-02 20:35:29,L
GraphVideo,2024-03-02 19:53:26,L
GraphSidecar,2024-03-02 16:24:45,L
GraphImage,2024-03-02 16:11:44,L
GraphVideo,2024-03-02 15:54:54,L
GraphVideo,2024-03-02 15:16:13,L
GraphVideo,2024-03-02 10:57:46,L
GraphImage,2024-03-02 10:26:32,L
GraphVideo,2024-03-01 23:09:51,L
GraphVideo,2024-03-01 23:08:23,L
GraphVideo,2024-03-01 20:37:09,L
GraphImage,2024-03-01 20:27:11,L
GraphImage,2024-03-01 18:19:09,L
GraphImage,2024-03-01 17:21:48,L
GraphVideo,2024-03-01 15:44:10,L
GraphImage,2024-03-01 13:19:43,L
GraphVideo,2024-03-01 11:09:15,L
GraphVideo,2024-03-01 10:23:36,L
GraphVideo,2024-02-29 22:03:37,L
GraphVideo,2024-02-29 21:43:56,L
GraphVideo,2024-02-29 21:11:27,L
GraphSidecar,2024-02-29 20:43:36,L
GraphSidecar,2024-02-29 20:10:42,L
GraphImage,2024-02-29 18:28:08,L
GraphImage,2024-02-29 18:00:07,L
GraphImage,2024-02-29 17:32:05,L
