Media Type,Post Date,Political Party
GraphVideo,2024-03-08 23:42:12,PAN
GraphVideo,2024-03-08 21:46:44,PAN
GraphSidecar,2024-03-08 19:47:54,PAN
GraphSidecar,2024-03-08 18:40:21,PAN
GraphVideo,2024-03-08 17:31:57,PAN
GraphSidecar,2024-03-08 15:40:48,PAN
GraphImage,2024-03-08 15:25:17,PAN
GraphSidecar,2024-03-08 15:15:05,PAN
GraphImage,2024-03-08 12:00:37,PAN
GraphSidecar,2024-03-08 10:30:29,PAN
GraphSidecar,2024-03-08 08:35:01,PAN
GraphSidecar,2024-03-07 22:35:00,PAN
GraphSidecar,2024-03-07 21:15:31,PAN
GraphSidecar,2024-03-07 20:50:37,PAN
GraphSidecar,2024-03-07 19:47:20,PAN
GraphImage,2024-03-07 18:30:15,PAN
GraphSidecar,2024-03-07 15:10:50,PAN
GraphSidecar,2024-03-07 08:53:22,PAN
GraphVideo,2024-03-06 18:06:01,PAN
GraphImage,2024-03-06 16:39:57,PAN
GraphSidecar,2024-03-06 13:18:02,PAN
GraphSidecar,2024-03-06 11:42:21,PAN
GraphSidecar,2024-03-05 23:19:18,PAN
GraphVideo,2024-03-05 19:52:41,PAN
GraphVideo,2024-03-05 10:22:32,PAN
GraphVideo,2024-03-05 10:05:53,PAN
GraphSidecar,2024-03-04 21:44:34,PAN
GraphVideo,2024-03-04 11:46:06,PAN
GraphSidecar,2024-03-03 10:29:10,PAN
GraphSidecar,2024-03-03 09:30:30,PAN
GraphSidecar,2024-03-01 11:32:22,PAN
GraphSidecar,2024-02-29 16:54:04,PAN
GraphSidecar,2024-02-29 10:04:33,PAN
GraphImage,2024-02-28 20:51:01,PAN
GraphImage,2024-02-28 18:31:45,PAN
GraphImage,2024-02-28 11:28:16,PAN
GraphImage,2024-02-27 22:37:27,PAN
GraphSidecar,2024-02-27 22:29:35,PAN
GraphSidecar,2024-02-27 17:30:00,PAN
GraphImage,2024-02-27 14:12:53,PAN
GraphImage,2024-02-27 11:22:07,PAN
GraphImage,2024-02-26 20:05:59,PAN
GraphSidecar,2024-02-26 12:05:48,PAN
GraphSidecar,2024-02-25 17:59:28,PAN
GraphSidecar,2024-02-25 13:09:14,PAN
GraphSidecar,2024-02-25 11:19:54,PAN
GraphSidecar,2024-02-24 20:37:26,PAN
GraphSidecar,2024-02-24 15:19:06,PAN
GraphImage,2024-02-23 18:06:39,PAN
GraphImage,2024-02-23 10:55:46,PAN
GraphImage,2024-02-22 22:24:07,PAN
GraphImage,2024-02-22 15:41:08,PAN
GraphImage,2024-02-22 00:07:04,PAN
GraphImage,2024-02-21 21:35:45,PAN
GraphImage,2024-02-21 19:42:41,PAN
GraphSidecar,2024-02-21 16:37:35,PAN
GraphSidecar,2024-02-21 13:46:08,PAN
GraphVideo,2024-02-20 23:42:21,PAN
GraphImage,2024-02-20 21:53:32,PAN
GraphSidecar,2024-02-20 18:54:18,PAN
GraphImage,2024-02-20 17:11:16,PAN
GraphSidecar,2024-02-20 15:17:28,PAN
GraphImage,2024-02-20 13:02:14,PAN
GraphSidecar,2024-02-20 10:35:55,PAN
GraphSidecar,2024-02-19 11:56:37,PAN
GraphImage,2024-02-18 19:59:44,PAN
GraphVideo,2024-02-18 19:04:56,PAN
GraphSidecar,2024-02-17 21:36:39,PAN
GraphImage,2024-02-14 17:23:37,PAN
GraphImage,2024-02-14 16:02:26,PAN
GraphImage,2024-02-13 16:50:28,PAN
GraphImage,2024-02-11 18:20:31,PAN
GraphSidecar,2024-02-11 17:40:15,PAN
GraphImage,2024-02-11 10:23:58,PAN
GraphImage,2024-02-10 18:24:11,PAN
GraphSidecar,2024-02-10 16:46:17,PAN
GraphImage,2024-02-09 17:14:41,PAN
GraphSidecar,2024-02-09 16:06:12,PAN
GraphImage,2024-02-09 13:06:05,PAN
GraphSidecar,2024-02-09 11:48:00,PAN
GraphSidecar,2024-02-09 09:26:40,PAN
GraphSidecar,2024-02-08 13:32:11,PAN
GraphSidecar,2024-02-07 19:30:43,PAN
GraphImage,2024-02-06 17:10:50,PAN
GraphImage,2024-02-05 21:52:43,PAN
GraphImage,2024-02-05 17:09:52,PAN
GraphImage,2024-02-05 00:31:31,PAN
GraphSidecar,2024-02-03 22:27:35,PAN
GraphImage,2024-01-31 18:10:31,PAN
GraphImage,2024-01-31 10:39:02,PAN
GraphSidecar,2024-01-30 10:38:03,PAN
GraphVideo,2024-01-29 13:00:04,PAN
GraphVideo,2024-01-28 10:12:10,PAN
GraphSidecar,2024-01-27 22:42:47,PAN
GraphImage,2024-01-26 18:43:25,PAN
GraphSidecar,2024-01-25 22:16:03,PAN
GraphSidecar,2024-01-24 16:07:03,PAN
GraphVideo,2024-01-22 13:55:22,PAN
GraphImage,2024-01-21 11:09:12,PAN
GraphSidecar,2024-01-20 19:40:32,PAN
GraphSidecar,2024-01-20 18:27:19,PAN
GraphImage,2024-01-20 10:17:41,PAN
GraphImage,2024-01-19 16:23:44,PAN
GraphSidecar,2024-01-18 11:13:34,PAN
GraphImage,2024-01-17 07:27:25,PAN
GraphImage,2024-01-15 09:32:19,PAN
GraphSidecar,2024-01-13 21:10:23,PAN
GraphImage,2024-01-12 18:23:34,PAN
GraphImage,2024-01-11 19:29:52,PAN
GraphSidecar,2024-01-10 16:48:45,PAN
