Media Type,Post Date,Political Party
GraphVideo,2024-03-08 23:35:07,PCP
GraphSidecar,2024-03-08 23:13:03,PCP
GraphVideo,2024-03-08 23:11:58,PCP
GraphSidecar,2024-03-08 21:35:10,PCP
GraphImage,2024-03-08 21:04:00,PCP
GraphImage,2024-03-08 20:53:16,PCP
GraphSidecar,2024-03-08 18:49:22,PCP
GraphVideo,2024-03-08 18:42:38,PCP
GraphImage,2024-03-08 18:06:12,PCP
GraphVideo,2024-03-08 17:58:24,PCP
GraphImage,2024-03-08 16:52:02,PCP
GraphImage,2024-03-08 16:14:16,PCP
GraphSidecar,2024-03-08 15:52:22,PCP
GraphVideo,2024-03-08 15:46:43,PCP
GraphVideo,2024-03-08 13:54:38,PCP
GraphSidecar,2024-03-08 13:18:03,PCP
GraphVideo,2024-03-08 11:49:33,PCP
GraphImage,2024-03-08 09:09:13,PCP
GraphVideo,2024-03-08 08:31:58,PCP
GraphVideo,2024-03-08 07:22:45,PCP
GraphVideo,2024-03-07 23:43:39,PCP
GraphSidecar,2024-03-07 22:51:25,PCP
GraphSidecar,2024-03-07 19:07:45,PCP
GraphVideo,2024-03-07 17:11:53,PCP
GraphSidecar,2024-03-07 15:57:59,PCP
GraphVideo,2024-03-07 15:42:17,PCP
GraphSidecar,2024-03-07 14:56:20,PCP
GraphVideo,2024-03-07 14:04:37,PCP
GraphImage,2024-03-07 13:32:06,PCP
GraphSidecar,2024-03-07 10:45:54,PCP
GraphSidecar,2024-03-07 00:27:28,PCP
GraphSidecar,2024-03-07 00:09:10,PCP
GraphSidecar,2024-03-06 22:21:01,PCP
GraphVideo,2024-03-06 22:00:01,PCP
GraphVideo,2024-03-06 21:01:50,PCP
GraphSidecar,2024-03-06 20:09:02,PCP
GraphSidecar,2024-03-06 19:41:19,PCP
GraphVideo,2024-03-06 19:22:42,PCP
GraphVideo,2024-03-06 18:23:49,PCP
GraphVideo,2024-03-06 18:15:47,PCP
GraphImage,2024-03-06 18:08:07,PCP
GraphSidecar,2024-03-06 17:48:24,PCP
GraphVideo,2024-03-06 17:32:48,PCP
GraphSidecar,2024-03-06 16:21:19,PCP
GraphSidecar,2024-03-06 14:24:47,PCP
GraphVideo,2024-03-06 13:42:13,PCP
GraphVideo,2024-03-06 13:28:53,PCP
GraphVideo,2024-03-06 13:04:26,PCP
GraphSidecar,2024-03-06 09:47:09,PCP
GraphVideo,2024-03-06 00:15:56,PCP
GraphSidecar,2024-03-05 23:34:59,PCP
GraphSidecar,2024-03-05 23:16:12,PCP
GraphSidecar,2024-03-05 19:13:14,PCP
GraphVideo,2024-03-05 18:39:43,PCP
GraphSidecar,2024-03-05 18:36:18,PCP
GraphSidecar,2024-03-05 18:35:03,PCP
GraphSidecar,2024-03-05 17:39:21,PCP
GraphVideo,2024-03-05 17:23:33,PCP
GraphSidecar,2024-03-05 15:02:27,PCP
GraphSidecar,2024-03-05 11:09:25,PCP
GraphSidecar,2024-03-05 10:27:47,PCP
GraphSidecar,2024-03-05 09:43:35,PCP
GraphSidecar,2024-03-05 07:21:07,PCP
GraphSidecar,2024-03-04 21:27:11,PCP
GraphSidecar,2024-03-04 19:25:52,PCP
GraphSidecar,2024-03-04 18:36:21,PCP
GraphVideo,2024-03-04 17:16:17,PCP
GraphSidecar,2024-03-04 16:39:39,PCP
GraphImage,2024-03-04 16:27:45,PCP
GraphImage,2024-03-04 15:54:55,PCP
GraphVideo,2024-03-04 15:41:15,PCP
GraphVideo,2024-03-04 14:31:38,PCP
GraphVideo,2024-03-04 14:24:32,PCP
GraphImage,2024-03-04 14:18:53,PCP
GraphSidecar,2024-03-04 12:54:17,PCP
GraphSidecar,2024-03-04 11:14:53,PCP
GraphVideo,2024-03-04 09:40:52,PCP
GraphVideo,2024-03-04 02:27:14,PCP
GraphSidecar,2024-03-04 01:54:51,PCP
GraphSidecar,2024-03-03 22:00:54,PCP
GraphSidecar,2024-03-03 21:00:13,PCP
GraphImage,2024-03-03 18:06:12,PCP
GraphVideo,2024-03-03 16:49:03,PCP
GraphImage,2024-03-03 15:19:17,PCP
GraphSidecar,2024-03-03 14:53:00,PCP
GraphSidecar,2024-03-03 11:12:22,PCP
GraphVideo,2024-03-03 09:59:52,PCP
GraphSidecar,2024-03-03 08:48:11,PCP
GraphSidecar,2024-03-03 01:08:11,PCP
GraphSidecar,2024-03-02 20:41:23,PCP
GraphImage,2024-03-02 19:48:49,PCP
GraphVideo,2024-03-02 19:47:25,PCP
GraphSidecar,2024-03-02 18:53:36,PCP
GraphVideo,2024-03-02 18:22:52,PCP
GraphSidecar,2024-03-02 17:38:23,PCP
GraphSidecar,2024-03-02 16:06:45,PCP
GraphVideo,2024-03-02 15:44:54,PCP
GraphSidecar,2024-03-02 15:23:12,PCP
GraphVideo,2024-03-02 01:23:55,PCP
GraphSidecar,2024-03-01 22:02:11,PCP
GraphVideo,2024-03-01 18:23:29,PCP
GraphImage,2024-03-01 18:06:12,PCP
GraphImage,2024-03-01 17:43:11,PCP
GraphVideo,2024-03-01 16:16:51,PCP
GraphVideo,2024-03-01 16:01:28,PCP
GraphSidecar,2024-03-01 15:43:34,PCP
GraphSidecar,2024-03-01 13:49:06,PCP
GraphSidecar,2024-03-01 13:17:41,PCP
GraphImage,2024-03-01 10:58:42,PCP
GraphSidecar,2024-03-01 09:10:09,PCP
GraphSidecar,2024-03-01 08:09:18,PCP
GraphSidecar,2024-03-01 08:01:23,PCP
GraphSidecar,2024-02-29 23:48:59,PCP
GraphSidecar,2024-02-29 22:28:16,PCP
GraphImage,2024-02-29 21:53:40,PCP
GraphSidecar,2024-02-29 19:08:30,PCP
GraphSidecar,2024-02-29 19:06:56,PCP
GraphSidecar,2024-02-29 17:50:10,PCP
GraphVideo,2024-02-29 16:21:10,PCP
GraphImage,2024-02-29 16:01:05,PCP
GraphVideo,2024-02-29 15:14:13,PCP
GraphSidecar,2024-02-29 14:25:00,PCP
GraphVideo,2024-02-29 14:21:31,PCP
GraphSidecar,2024-02-29 12:18:50,PCP
GraphSidecar,2024-02-29 10:25:08,PCP
GraphSidecar,2024-02-28 22:55:51,PCP
GraphSidecar,2024-02-28 21:51:24,PCP
GraphSidecar,2024-02-28 18:14:17,PCP
GraphSidecar,2024-02-28 18:00:44,PCP
GraphVideo,2024-02-28 16:29:09,PCP
GraphSidecar,2024-02-28 15:29:06,PCP
GraphImage,2024-02-28 11:33:50,PCP
GraphSidecar,2024-02-28 10:18:10,PCP
GraphVideo,2024-02-27 21:02:14,PCP
GraphSidecar,2024-02-27 18:35:39,PCP
GraphSidecar,2024-02-27 18:07:06,PCP
GraphVideo,2024-02-27 16:40:18,PCP
GraphSidecar,2024-02-27 16:03:57,PCP
GraphVideo,2024-02-26 19:51:41,PCP
GraphVideo,2024-02-26 18:02:13,PCP
GraphVideo,2024-02-26 10:10:03,PCP
GraphSidecar,2024-02-25 23:59:00,PCP
GraphSidecar,2024-02-25 23:18:06,PCP
GraphSidecar,2024-02-25 23:00:16,PCP
GraphVideo,2024-02-25 16:24:31,PCP
GraphVideo,2024-02-25 11:59:43,PCP
GraphSidecar,2024-02-25 11:12:26,PCP
GraphSidecar,2024-02-25 01:57:53,PCP
GraphImage,2024-02-24 22:43:13,PCP
GraphSidecar,2024-02-24 22:24:41,PCP
GraphImage,2024-02-24 18:00:30,PCP
GraphSidecar,2024-02-24 15:13:22,PCP
GraphSidecar,2024-02-24 14:01:26,PCP
GraphVideo,2024-02-23 23:41:36,PCP
GraphSidecar,2024-02-23 20:06:01,PCP
GraphImage,2024-02-23 18:07:57,PCP
GraphImage,2024-02-23 17:41:41,PCP
GraphVideo,2024-02-23 16:38:58,PCP
GraphImage,2024-02-23 13:25:39,PCP
GraphSidecar,2024-02-23 11:13:17,PCP
GraphImage,2024-02-22 22:03:33,PCP
GraphVideo,2024-02-22 18:11:39,PCP
GraphSidecar,2024-02-22 17:59:24,PCP
GraphSidecar,2024-02-22 16:23:50,PCP
GraphSidecar,2024-02-22 14:38:08,PCP
GraphSidecar,2024-02-21 23:50:39,PCP
GraphSidecar,2024-02-21 18:59:07,PCP
GraphSidecar,2024-02-21 15:51:17,PCP
GraphSidecar,2024-02-21 10:25:14,PCP
GraphSidecar,2024-02-20 23:56:03,PCP
GraphVideo,2024-02-20 23:23:47,PCP
GraphSidecar,2024-02-20 19:31:11,PCP
GraphVideo,2024-02-20 19:09:46,PCP
GraphVideo,2024-02-20 18:10:13,PCP
