Media Type,Post Date,Political Party
GraphImage,2024-03-08 23:59:01,PS
GraphVideo,2024-03-08 23:36:30,PS
GraphVideo,2024-03-08 23:01:58,PS
GraphSidecar,2024-03-08 22:36:24,PS
GraphSidecar,2024-03-08 22:01:47,PS
GraphSidecar,2024-03-08 21:13:29,PS
GraphVideo,2024-03-08 19:59:34,PS
GraphImage,2024-03-08 17:35:37,PS
GraphVideo,2024-03-08 16:51:53,PS
GraphSidecar,2024-03-08 15:35:04,PS
GraphVideo,2024-03-08 13:48:47,PS
GraphVideo,2024-03-08 12:53:04,PS
GraphImage,2024-03-08 09:09:48,PS
GraphVideo,2024-03-08 07:01:06,PS
GraphSidecar,2024-03-08 01:36:41,PS
GraphImage,2024-03-08 00:03:28,PS
GraphVideo,2024-03-07 21:19:03,PS
GraphSidecar,2024-03-07 20:27:47,PS
GraphImage,2024-03-07 19:12:01,PS
GraphSidecar,2024-03-07 18:44:34,PS
GraphVideo,2024-03-07 18:03:49,PS
GraphSidecar,2024-03-07 15:48:42,PS
GraphVideo,2024-03-07 13:42:42,PS
GraphVideo,2024-03-07 12:53:35,PS
GraphVideo,2024-03-07 09:59:10,PS
GraphVideo,2024-03-06 23:34:02,PS
GraphVideo,2024-03-06 20:33:06,PS
GraphSidecar,2024-03-06 19:59:09,PS
GraphImage,2024-03-06 19:28:18,PS
GraphImage,2024-03-06 17:17:56,PS
GraphSidecar,2024-03-06 16:52:52,PS
GraphVideo,2024-03-06 15:56:06,PS
GraphVideo,2024-03-06 14:27:23,PS
GraphSidecar,2024-03-06 10:46:28,PS
GraphSidecar,2024-03-05 21:50:20,PS
GraphVideo,2024-03-05 18:14:41,PS
GraphVideo,2024-03-05 17:53:39,PS
GraphVideo,2024-03-05 12:44:38,PS
GraphSidecar,2024-03-05 09:47:22,PS
GraphSidecar,2024-03-04 21:48:42,PS
GraphSidecar,2024-03-04 21:00:23,PS
GraphVideo,2024-03-04 19:40:02,PS
GraphSidecar,2024-03-04 17:47:41,PS
GraphSidecar,2024-03-04 17:13:47,PS
GraphVideo,2024-03-04 13:15:41,PS
GraphSidecar,2024-03-04 01:16:05,PS
GraphVideo,2024-03-03 23:58:17,PS
GraphSidecar,2024-03-03 23:27:42,PS
GraphVideo,2024-03-03 19:22:36,PS
GraphImage,2024-03-03 18:14:07,PS
GraphSidecar,2024-03-03 17:10:52,PS
GraphVideo,2024-03-03 16:35:37,PS
GraphVideo,2024-03-03 14:11:16,PS
GraphImage,2024-03-03 13:08:31,PS
GraphVideo,2024-03-03 11:06:20,PS
GraphSidecar,2024-03-03 01:02:04,PS
GraphImage,2024-03-02 19:41:38,PS
GraphVideo,2024-03-02 19:09:28,PS
GraphSidecar,2024-03-02 17:36:00,PS
GraphVideo,2024-03-02 15:04:48,PS
GraphVideo,2024-03-02 11:26:05,PS
GraphSidecar,2024-03-02 01:19:31,PS
GraphSidecar,2024-03-01 22:56:14,PS
GraphVideo,2024-03-01 20:56:29,PS
GraphVideo,2024-03-01 19:55:10,PS
GraphSidecar,2024-03-01 17:14:58,PS
GraphVideo,2024-03-01 14:52:29,PS
GraphImage,2024-03-01 12:35:55,PS
GraphVideo,2024-03-01 10:22:42,PS
GraphSidecar,2024-03-01 00:53:21,PS
GraphVideo,2024-02-29 23:23:23,PS
GraphSidecar,2024-02-29 18:43:31,PS
GraphSidecar,2024-02-29 16:25:23,PS
GraphVideo,2024-02-29 14:05:12,PS
GraphImage,2024-02-29 11:46:33,PS
GraphSidecar,2024-02-29 01:43:48,PS
GraphVideo,2024-02-29 00:18:42,PS
GraphVideo,2024-02-28 21:59:44,PS
GraphSidecar,2024-02-28 20:45:36,PS
GraphVideo,2024-02-28 19:52:05,PS
GraphVideo,2024-02-28 13:24:35,PS
GraphSidecar,2024-02-28 11:11:39,PS
GraphImage,2024-02-28 00:14:12,PS
GraphVideo,2024-02-27 21:14:03,PS
GraphSidecar,2024-02-27 19:41:18,PS
GraphVideo,2024-02-27 15:40:09,PS
GraphSidecar,2024-02-27 11:51:26,PS
GraphVideo,2024-02-27 02:12:53,PS
GraphVideo,2024-02-26 21:43:40,PS
GraphVideo,2024-02-26 14:51:06,PS
GraphVideo,2024-02-26 10:16:01,PS
GraphSidecar,2024-02-25 21:31:35,PS
GraphVideo,2024-02-25 20:00:45,PS
GraphImage,2024-02-25 16:41:41,PS
GraphImage,2024-02-25 16:05:38,PS
GraphSidecar,2024-02-25 14:21:45,PS
GraphVideo,2024-02-25 12:44:59,PS
