Party;Votes;Time Period
PPD/PSD.CDS-PP.PPM;0;Nov 14 to Nov 17, 2023
PS;23,6;Nov 14 to Nov 17, 2023
CH;13,5;Nov 14 to Nov 17, 2023
IL;8,4;Nov 14 to Nov 17, 2023
B.E.;9,5;Nov 14 to Nov 17, 2023
L;3;Nov 14 to Nov 17, 2023
PAN;4,4;Nov 14 to Nov 17, 2023
PCP;3,2;Nov 14 to Nov 17, 2023
PSD;21,9;Nov 14 to Nov 17, 2023
CDS;1,9;Nov 14 to Nov 17, 2023
Undecided;7,4;Nov 14 to Nov 17, 2023
PPD/PSD.CDS-PP.PPM;0;Dec 18 to Dec 21, 2023
PS;25,4;Dec 18 to Dec 21, 2023
CH;11,6;Dec 18 to Dec 21, 2023
IL;6,6;Dec 18 to Dec 21, 2023
B.E.;8,8;Dec 18 to Dec 21, 2023
L;2,9;Dec 18 to Dec 21, 2023
PAN;3;Dec 18 to Dec 21, 2023
PCP;2,3;Dec 18 to Dec 21, 2023
PSD;22,5;Dec 18 to Dec 21, 2023
CDS;1,9;Dec 18 to Dec 21, 2023
Undecided;13,2;Dec 18 to Dec 21, 2023
PPD/PSD.CDS-PP.PPM;20,8;Jan 16 to Jan 20, 2024
PS;26,4;Jan 16 to Jan 20, 2024
CH;16,6;Jan 16 to Jan 20, 2024
IL;5,4;Jan 16 to Jan 20, 2024
B.E.;7,4;Jan 16 to Jan 20, 2024
L;1,3;Jan 16 to Jan 20, 2024
PAN;2,2;Jan 16 to Jan 20, 2024
PCP;3,9;Jan 16 to Jan 20, 2024
PSD;0;Jan 16 to Jan 20, 2024
CDS;0;Jan 16 to Jan 20, 2024
Undecided;14,5;Jan 16 to Jan 20, 2024
PPD/PSD.CDS-PP.PPM;32;Jan 24 to Feb 1, 2024
PS;28;Jan 24 to Feb 1, 2024
CH;19;Jan 24 to Feb 1, 2024
IL;6;Jan 24 to Feb 1, 2024
B.E.;5;Jan 24 to Feb 1, 2024
L;3;Jan 24 to Feb 1, 2024
PAN;1;Jan 24 to Feb 1, 2024
PCP;2;Jan 24 to Feb 1, 2024
PSD;0;Jan 24 to Feb 1, 2024
CDS;0;Jan 24 to Feb 1, 2024
Undecided;20;Jan 24 to Feb 1, 2024
PPD/PSD.CDS-PP.PPM;24,3;Feb 6 to Feb 10, 2024
PS;22,4;Feb 6 to Feb 10, 2024
CH;16,5;Feb 6 to Feb 10, 2024
IL;6,6;Feb 6 to Feb 10, 2024
B.E.;5,4;Feb 6 to Feb 10, 2024
L;2,7;Feb 6 to Feb 10, 2024
PAN;3,2;Feb 6 to Feb 10, 2024
PCP;2,7;Feb 6 to Feb 10, 2024
PSD;0;Feb 6 to Feb 10, 2024
CDS;0;Feb 6 to Feb 10, 2024
Undecided;12,4;Feb 6 to Feb 10, 2024
PPD/PSD.CDS-PP.PPM;27,7;Feb 8 to Feb 13, 2024
PS;33,1;Feb 8 to Feb 13, 2024
CH;16,4;Feb 8 to Feb 13, 2024
IL;4,9;Feb 8 to Feb 13, 2024
B.E.;6,3;Feb 8 to Feb 13, 2024
L;2,8;Feb 8 to Feb 13, 2024
PAN;3,3;Feb 8 to Feb 13, 2024
PCP;2,3;Feb 8 to Feb 13, 2024
PSD;0;Feb 8 to Feb 13, 2024
CDS;0;Feb 8 to Feb 13, 2024
Undecided;7,7;Feb 8 to Feb 13, 2024
PPD/PSD.CDS-PP.PPM;35;Feb 19 to Feb 21, 2024
PS;29;Feb 19 to Feb 21, 2024
CH;17;Feb 19 to Feb 21, 2024
IL;6;Feb 19 to Feb 21, 2024
B.E.;4;Feb 19 to Feb 21, 2024
L;3;Feb 19 to Feb 21, 2024
PAN;1;Feb 19 to Feb 21, 2024
PCP;2;Feb 19 to Feb 21, 2024
PSD;0;Feb 19 to Feb 21, 2024
CDS;0;Feb 19 to Feb 21, 2024
Undecided;17;Feb 19 to Feb 21, 2024
PPD/PSD.CDS-PP.PPM;21;Feb 17 to Feb 25, 2024
PS;20;Feb 17 to Feb 25, 2024
CH;12;Feb 17 to Feb 25, 2024
IL;2;Feb 17 to Feb 25, 2024
B.E.;3;Feb 17 to Feb 25, 2024
L;2;Feb 17 to Feb 25, 2024
PAN;1;Feb 17 to Feb 25, 2024
PCP;2;Feb 17 to Feb 25, 2024
PSD;0;Feb 17 to Feb 25, 2024
CDS;0;Feb 17 to Feb 25, 2024
Undecided;18;Feb 17 to Feb 25, 2024
PPD/PSD.CDS-PP.PPM;33;Feb 22 to Feb 26, 2024
PS;27;Feb 22 to Feb 26, 2024
CH;17;Feb 22 to Feb 26, 2024
IL;6;Feb 22 to Feb 26, 2024
B.E.;5;Feb 22 to Feb 26, 2024
L;4;Feb 22 to Feb 26, 2024
PAN;2;Feb 22 to Feb 26, 2024
PCP;3;Feb 22 to Feb 26, 2024
PSD;0;Feb 22 to Feb 26, 2024
CDS;0;Feb 22 to Feb 26, 2024
Undecided;20;Feb 22 to Feb 26, 2024
PPD/PSD.CDS-PP.PPM;29,6;Feb 23 to Feb 27, 2024
PS;33,1;Feb 23 to Feb 27, 2024
CH;16,7;Feb 23 to Feb 27, 2024
IL;3,9;Feb 23 to Feb 27, 2024
B.E.;6,6;Feb 23 to Feb 27, 2024
L;1;Feb 23 to Feb 27, 2024
PAN;2;Feb 23 to Feb 27, 2024
PCP;4;Feb 23 to Feb 27, 2024
PSD;0;Feb 23 to Feb 27, 2024
CDS;0;Feb 23 to Feb 27, 2024
Undecided;4,4;Feb 23 to Feb 27, 2024
PPD/PSD.CDS-PP.PPM;29,3;Feb 28 to Mar 4, 2024
PS;23,3;Feb 28 to Mar 4, 2024
CH;15,6;Feb 28 to Mar 4, 2024
IL;7,8;Feb 28 to Mar 4, 2024
B.E.;5,5;Feb 28 to Mar 4, 2024
L;4,3;Feb 28 to Mar 4, 2024
PAN;3,7;Feb 28 to Mar 4, 2024
PCP;2,1;Feb 28 to Mar 4, 2024
PSD;0;Feb 28 to Mar 4, 2024
CDS;0;Feb 28 to Mar 4, 2024
Undecided;13;Feb 28 to Mar 4, 2024
